"customer_key","customer_number","customer_name","customer_age","customer_type","active_months","total_sales","total_quantity","last_order","days_since_last_order","average_order_value","average_monthly_spend"
1,AW00011000,Jon Yang,54,VIP,28,8249,8,2013-05-03,7,2749.67,294.61
2,AW00011001,Eugene Huang,49,VIP,35,6384,11,2013-12-10,0,2128.00,182.40
3,AW00011002,Ruben Torres,54,VIP,26,8114,4,2013-02-23,15,2704.67,312.08
4,AW00011003,Christy Zhu,52,VIP,29,8139,9,2013-05-10,0,2713.00,280.66
5,AW00011004,Elizabeth Johnson,46,VIP,28,8196,6,2013-05-01,9,2732.00,292.71
6,AW00011005,Julio Ruiz,49,VIP,29,8121,6,2013-05-02,8,2707.00,280.03
7,AW00011006,Janet Alvarez,49,VIP,28,8119,5,2013-05-14,27,2706.33,289.96
8,AW00011007,Marco Mehta,56,VIP,27,8211,8,2013-03-19,22,2737.00,304.11
9,AW00011008,Rob Verhoff,50,VIP,26,8106,7,2013-03-02,8,2702.00,311.77
10,AW00011009,Shannon Carlson,56,VIP,28,8091,5,2013-05-09,1,2697.00,288.96
11,AW00011010,Jacquelyn Suarez,56,VIP,29,8088,4,2013-05-23,18,2696.00,278.90
12,AW00011011,Curtis Lu,56,VIP,27,8133,4,2013-03-19,22,2711.00,301.22
13,AW00011012,Lauren Walker,46,REGULAR,7,81,5,2013-10-15,26,40.50,11.57
14,AW00011013,Ian Jenkins,46,REGULAR,10,114,5,2014-01-21,20,57.00,11.40
15,AW00011014,Sydney Bennett,52,NEW,2,138,6,2013-04-30,10,69.00,69.00
16,AW00011015,Chloe Young,41,NEW,1,2501,3,2013-01-18,23,2501.00,2501.00
17,AW00011016,Wyatt Hill,41,NEW,1,2332,3,2013-02-09,1,2332.00,2332.00
18,AW00011017,Shannon Wang,76,VIP,34,6434,4,2013-10-14,27,2144.67,189.24
19,AW00011018,Clarence Rai,70,VIP,34,6533,7,2013-10-24,17,2177.67,192.15
20,AW00011019,Luke Lal,42,REGULAR,12,880,33,2014-01-12,29,51.76,73.33
21,AW00011020,Jordan King,41,NEW,1,2317,2,2012-12-29,12,2317.00,2317.00
22,AW00011021,Destiny Wilson,41,NEW,1,2372,3,2013-01-23,18,2372.00,2372.00
23,AW00011022,Ethan Zhang,41,NEW,1,2322,2,2013-01-20,21,2322.00,2322.00
24,AW00011023,Seth Edwards,41,REGULAR,11,122,6,2014-01-14,27,61.00,11.09
25,AW00011024,Russell Xie,41,NEW,1,56,6,2013-07-26,15,28.00,56.00
26,AW00011025,Alejandro Beck,74,VIP,34,6577,6,2013-10-25,16,2192.33,193.44
27,AW00011026,Harold Sai,74,VIP,33,6575,7,2013-10-15,26,2191.67,199.24
28,AW00011027,Jessie Zhao,73,VIP,34,6591,9,2013-10-24,17,2197.00,193.85
29,AW00011028,Jill Jimenez,74,VIP,33,6474,5,2013-10-07,3,2158.00,196.18
